State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Michigan,16,613,68,0.4295,0.4105,0.082
Michigan,16,615,66,0.353,0.287,0.08
Michigan,16,644,61,0.4395,0.4405,0.082
Michigan,16,681,59,0.353,0.307,0.07
Michigan,16,600,58,0.382,0.348,0.1
Michigan,16,632,56,0.4295,0.4205,0.082
Michigan,16,613,52,0.353,0.337,0.08
Michigan,16,549,51,0.5015,0.4585,0.082
Michigan,16,600,48,0.46,0.41,0.08
Michigan,16,516,46,0.373,0.297,0.08
Michigan,16,554,44,0.4015,0.4585,0.04
Michigan,16,375,43,0.3895,0.3905,0.082
Michigan,16,600,42,0.4205,0.3495,0.09
Michigan,16,657,39,0.383,0.307,0.08
Michigan,16,600,37,0.432,0.318,0.1
Michigan,16,338,34,0.5215,0.4385,0.082
Michigan,16,587,33,0.403,0.287,0.07
Michigan,16,1168,29,0.435,0.375,0.082
Michigan,16,600,29,0.4205,0.3095,0.1
Michigan,16,1331,27,0.45,0.37,0.11
Michigan,16,581,27,0.343,0.337,0.07
Michigan,16,327,27,0.5215,0.4385,0.082
