"","states","Clinton","Trump","Johnson"
"1","New_Hampshire",0.49092471504398,0.415331708928507,0.0942270787429333
"2","Pennsylvania",0.49913575860718,0.442588007209064,0.057301681120825
"3","Ohio",0.472478944692387,0.465300375676009,0.0626701371531785
"4","Michigan",0.491158037461024,0.420758665962667,0.08870527822139
"5","Wisconsin",0.505057613478718,0.429235062953223,0.0654600128596534
"6","Minnesota",0.49043999124175,0.435890149875076,0.0733291894545194
"7","Iowa",0.44545364703586,0.467911287195033,0.0864444479838236
"8","Colorado",0.48306130643226,0.423206269472299,0.0933424320262539
"9","Nevada",0.478096304977308,0.445281014831971,0.0756433781630834
"10","Arizona",0.45529240156109,0.470352157723905,0.0747109411258976
"11","Virginia",0.499867845289736,0.426595016913882,0.0739281198489336
"12","North_Carolina",0.476559166389732,0.458007964694653,0.0652350856419617
"13","Florida",0.48800558737611,0.463323135959948,0.0481426386721622
